t1,rx,ry,rz,qx,qy,qz,qw,t2,th1,th2,th3,th4,th5,th6
14.5,-0.140917,0.0584607,0.200636,-0.12683,0.395513,-0.720488,0.555321,14.5,-0.189124,-1.31319,-2.43913,2.78157,-2.82555,1.36848
14.6001,-0.140917,0.0584607,0.200636,-0.12683,0.395513,-0.720488,0.555321,14.6001,-0.189124,-1.31319,-2.43913,2.78157,-2.82555,1.36848
14.7,0.15241,-0.0496057,-0.568626,0.805966,0.0638761,0.583163,-0.0791179,14.7,-1.30627,1.68704,-0.728849,0.68738,-1.26229,-1.6418
14.8,0.15241,-0.0496057,-0.568626,0.805966,0.0638761,0.583163,-0.0791179,14.8,-1.30627,1.68704,-0.728849,0.68738,-1.26229,-1.6418
14.9,0.510296,-0.0738306,0.458605,0.566851,0.259904,0.409762,0.665751,14.9,-0.522761,0.00251327,-1.67321,0.417204,0.125035,-0.54538
15,0.510296,-0.0738306,0.458605,0.566851,0.259904,0.409762,0.665751,15,-0.522761,0.00251327,-1.67321,0.417204,0.125035,-0.54538
15.1,0.00260625,-0.510076,-0.338246,-0.624694,-6.22913E-05,-0.0745964,0.777298,15.1,-1.94402,0.326097,1.09265,2.07659,0.27269,-1.69018
15.2,0.00260625,-0.510076,-0.338246,-0.624694,-6.22913E-05,-0.0745964,0.777298,15.2,-1.94402,0.326097,1.09265,2.07659,0.27269,-1.69018
15.3,-0.238554,-0.569774,-0.408347,0.512189,0.746696,0.356188,0.230731,15.3,-2.04392,0.810531,-0.561717,-0.218027,-2.42154,-0.853257
15.4,-0.238554,-0.569774,-0.408347,0.512189,0.746696,0.356188,0.230731,15.4,-2.04392,0.810531,-0.561717,-0.218027,-2.42154,-0.853257
15.5,0.429551,-0.478212,0.425437,0.51764,0.590878,0.291661,0.545753,15.5,2.37504,-2.52207,-0.524018,0.461814,-2.43599,2.26572
15.6,0.429551,-0.478212,0.425437,0.51764,0.590878,0.291661,0.545753,15.6,2.37504,-2.52207,-0.524018,0.461814,-2.43599,2.26572
15.7,-0.66742,0.0850901,-0.395269,0.698221,-0.299777,-0.644113,-0.0879782,15.7,2.8155,0.0810531,1.10019,-2.65904,-1.27423,0.222425
15.8,-0.66742,0.0850901,-0.395269,0.698221,-0.299777,-0.644113,-0.0879782,15.8,2.8155,0.0810531,1.10019,-2.65904,-1.27423,0.222425
15.9,0.385868,0.457692,-0.363411,0.4515,0.141156,0.569353,0.672354,15.9,0.608841,0.554177,0.508938,1.67824,-0.983319,1.17747
16,0.385868,0.457692,-0.363411,0.4515,0.141156,0.569353,0.672354,16,0.608841,0.554177,0.508938,1.67824,-0.983319,1.17747
16.1,0.385868,0.457692,-0.363411,0.4515,0.141156,0.569353,0.672354,16.1,0.608841,0.554177,0.508938,1.67824,-0.983319,1.17747
16.2,-0.004701,-0.147762,-0.288458,-0.245486,0.348024,0.876407,-0.224783,16.2,-2.98828,0.499513,2.485,-2.67475,1.11589,-2.43473
16.3,-0.004701,-0.147762,-0.288458,-0.245486,0.348024,0.876407,-0.224783,16.3,-2.98828,0.499513,2.485,-2.67475,1.11589,-2.43473
16.4,0.617796,-0.0761957,-0.532974,0.830079,-0.0918698,-0.373174,-0.404067,16.4,-3.10452,2.25127,0.450504,2.80733,-1.69395,0.870849
16.5,0.617796,-0.0761957,-0.532974,0.830079,-0.0918698,-0.373174,-0.404067,16.5,-3.10452,2.25127,0.450504,2.80733,-1.69395,0.870849
16.6,-0.853172,-0.0526539,0.1781,0.0440114,0.267996,0.917894,0.289332,16.6,3.12777,-0.317301,0.172159,0.233734,2.14508,-2.54783
16.7,-0.853172,-0.0526539,0.1781,0.0440114,0.267996,0.917894,0.289332,16.7,3.12777,-0.317301,0.172159,0.233734,2.14508,-2.54783
16.8,-0.354374,0.167477,0.690818,0.674734,0.549042,0.425942,0.24872,16.8,2.59621,-1.60975,0.978292,0.0559203,2.55411,-1.49728
16.9,-0.354374,0.167477,0.690818,0.674734,0.549042,0.425942,0.24872,16.9,2.59621,-1.60975,0.978292,0.0559203,2.55411,-1.49728
17,-0.354374,0.167477,0.690818,0.674734,0.549042,0.425942,0.24872,17,2.59621,-1.60975,0.978292,0.0559203,2.55411,-1.49728
17.1,-0.0780948,0.008713,0.731553,0.744764,-0.620124,-0.147934,0.1972,17.1,0.239389,-1.00154,-1.61415,-0.082938,3.08504,3.0863
17.2,-0.0780948,0.008713,0.731553,0.744764,-0.620124,-0.147934,0.1972,17.2,0.239389,-1.00154,-1.61415,-0.082938,3.08504,3.0863
17.3,0.0958446,-0.181353,-0.0468914,0.950872,-0.221336,-0.129096,0.173741,17.3,-2.25378,1.95847,-3.0153,0.322956,-0.254469,0.313531
17.4,0.0958446,-0.181353,-0.0468914,0.950872,-0.221336,-0.129096,0.173741,17.4,-2.25378,1.95847,-3.0153,0.322956,-0.254469,0.313531
17.5,-0.332764,-0.00993127,0.634567,0.85044,0.479647,0.213143,-0.035512,17.5,3.05049,-0.180327,-1.71657,-0.430398,2.5648,-2.57296
17.6,-0.332764,-0.00993127,0.634567,0.85044,0.479647,0.213143,-0.035512,17.6,3.05049,-0.180327,-1.71657,-0.430398,2.5648,-2.57296
17.7,-0.125646,-0.236286,0.0174595,-0.185399,0.976216,0.099705,0.0518507,17.7,1.87427,1.17998,2.81487,-2.0213,0.150796,-2.15576
17.8,-0.125646,-0.236286,0.0174595,-0.185399,0.976216,0.099705,0.0518507,17.8,1.87427,1.17998,2.81487,-2.0213,0.150796,-2.15576
17.9,0.510178,0.180929,0.763123,0.15386,-0.305838,0.132179,0.930225,17.9,0.130062,-0.902265,-0.29531,0.540982,1.52116,-2.84126
18,0.510178,0.180929,0.763123,0.15386,-0.305838,0.132179,0.930225,18,0.130062,-0.902265,-0.29531,0.540982,1.52116,-2.84126
18.1,0.122315,0.319605,0.431414,0.667413,-0.364885,-0.536751,-0.365126,18.1,0.92677,-1.50042,1.49791,1.55446,1.75489,2.01502
18.2,0.122315,0.319605,0.431414,0.667413,-0.364885,-0.536751,-0.365126,18.2,0.92677,-1.50042,1.49791,1.55446,1.75489,2.01502
18.3,-0.378974,0.163635,0.722119,0.829758,0.362236,-0.0456969,-0.422135,18.3,2.65088,-0.34369,-1.25978,-0.950646,2.71371,-1.74296
18.4,-0.378974,0.163635,0.722119,0.829758,0.362236,-0.0456969,-0.422135,18.4,2.65088,-0.34369,-1.25978,-0.950646,2.71371,-1.74296
18.5,0.0995354,-0.299816,-0.529991,0.0794576,0.451958,0.629074,0.627445,18.5,2.1589,1.86234,0.568,1.22522,-1.88747,1.03107
18.6,0.0995354,-0.299816,-0.529991,0.0794576,0.451958,0.629074,0.627445,18.6,2.1589,1.86234,0.568,1.22522,-1.88747,1.03107
18.7,0.0995354,-0.299816,-0.529991,0.0794576,0.451958,0.629074,0.627445,18.7,2.1589,1.86234,0.568,1.22522,-1.88747,1.03107
18.8,0.184198,-0.0865934,0.187292,-0.617478,-0.0943236,0.0941,0.775222,18.8,-1.61164,1.09453,-2.92419,-1.21265,0.307876,-1.44388
18.9,0.184198,-0.0865934,0.187292,-0.617478,-0.0943236,0.0941,0.775222,18.9,-1.61164,1.09453,-2.92419,-1.21265,0.307876,-1.44388
19,0.076262,-0.660159,-0.173959,-0.126452,-0.0141126,0.120774,0.984492,19,-1.7373,0.783513,-1.12595,0.335522,-0.410292,2.89278
19.1,0.076262,-0.660159,-0.173959,-0.126452,-0.0141126,0.120774,0.984492,19.1,-1.7373,0.783513,-1.12595,0.335522,-0.410292,2.89278
19.2,0.0105284,-0.467999,-0.674491,-0.749101,-0.0403231,0.218413,0.624113,19.2,-1.91888,1.20135,-0.483177,-1.13788,-0.747071,1.75615
19.3,0.0105284,-0.467999,-0.674491,-0.749101,-0.0403231,0.218413,0.624113,19.3,-1.91888,1.20135,-0.483177,-1.13788,-0.747071,1.75615
19.4,-0.103373,0.13716,0.0384238,-0.278212,0.387071,0.794144,0.376974,19.4,0.0659734,0.194779,3.03918,-1.03358,1.13788,1.16113
19.5001,-0.103373,0.13716,0.0384238,-0.278212,0.387071,0.794144,0.376974,19.5001,0.0659734,0.194779,3.03918,-1.03358,1.13788,1.16113
19.6,-0.103373,0.13716,0.0384238,-0.278212,0.387071,0.794144,0.376974,19.6,0.0659734,0.194779,3.03918,-1.03358,1.13788,1.16113
19.7,-0.108065,0.580174,0.137964,0.700932,0.0189655,0.0247963,0.712544,19.7,1.70903,0.808018,-1.53687,-2.31158,3.06494,1.65499
19.8,0.658066,0.426508,-0.266009,0.25655,0.0166711,0.892081,0.371612,19.8,-2.52081,2.73758,-0.266407,-0.69869,-2.66973,-1.09642
19.9,0.658066,0.426508,-0.266009,0.25655,0.0166711,0.892081,0.371612,19.9,-2.52081,2.73758,-0.266407,-0.69869,-2.66973,-1.09642
20.0001,0.658066,0.426508,-0.266009,0.25655,0.0166711,0.892081,0.371612,20.0001,-2.52081,2.73758,-0.266407,-0.69869,-2.66973,-1.09642
20.1,0.294734,0.355126,-0.237466,0.257213,0.826707,-0.493597,-0.0822115,20.1,0.480664,0.0527788,1.35151,1.5155,0.566115,-1.90946
20.2,0.294734,0.355126,-0.237466,0.257213,0.826707,-0.493597,-0.0822115,20.2,0.480664,0.0527788,1.35151,1.5155,0.566115,-1.90946
20.3,0.0910354,0.164561,-0.129751,0.825737,0.340623,0.274191,0.356305,20.3,-0.26515,0.325469,2.32792,0.00188496,-0.466212,2.66721
